,Company Name,Company Website,Company Add
0,Maa Tutorial Defence Academy,https://www.google.com/aclk?sa=l&ai=DChcSEwi3k7_i8rH6AhXClUsFHZNCBQwYABAAGgJzZg&sig=AOD64_0eSfhVrG6dZAz-j1hvHBdu-BwjHw&q=&ctype=99&ved=2ahUKEwiF4rji8rH6AhXSSmwGHew7D_oQhKwBegQIAhAc&adurl=,https://www.google.com/aclk?sa=l&ai=DChcSEwi3k7_i8rH6AhXClUsFHZNCBQwYABABGgJzZg&sig=AOD64_2FnOKP8pPaSaDqJ2-j7B83i-Opww&adurl=&ctype=50&q=
1,PROGRAMMERS POINT,http://www.programmerspoint.in/,"https://www.google.com/maps/dir//PROGRAMMERS+POINT,+1st+Floor,+GD+Prime,+Bhawarkua+Main+Rd,+opposite+Petrol+Pump+NEXA+showroom,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd3edbca24ed:0xc8f8fbba0fed0cc8?sa=X"
2,IIC - Indore Institute of Computers(C/C++) By Shashank Sir,https://www.iicindore.com/,"https://www.google.com/maps/dir//201,+IIC+-+Indore+Institute+of+Computers(C%2FC%2B%2B)+By+Shashank+Sir,+Shri+Balaji+Heights,+5-B,+Gita+Bhawan+Rd,+above+Ashirwad+Bhojnalay,+Rajgarh+Kothi,+Sqr,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd1d8a6bffe1:0x660908d5b039373f?sa=X"
3,Universal Informatics,http://www.universalinformatics.com/,"https://www.google.com/maps/dir//Universal+Informatics,+Abhay+Prashal+Building,+B-WING,+Race+Course+Rd,+opp.+IDA+Building,+Indore,+Madhya+Pradesh+452003/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd400a8df843:0x5410c632114a974e?sa=X"
4,LIVEWIRE INDORE,https://www.livewireindia.com/master-program-artificial-intelligence.php,"https://www.google.com/maps/dir//LIVEWIRE+INDORE,+%23206,+2nd+Floor,+Fortune+Aura+Business+park+(+Kyro+Building+1,+Gurmeet+Nagar,+Bhanwarkua+Main+Road+Landmark-+Above+Nexa+Car+Showroom,+near+Apple+hospital,+Indore,+Madhya+Pradesh+452014/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd154bf92905:0x82e334880e4e7461?sa=X"
5,MCU College Indore | Admission Open | July22-23 | Msc(Computer sc) | BCA | Bcom(Computer Application ),http://www.infozonegroup.in/,"https://www.google.com/maps/dir//MCU+College+Indore+%7C+Admission+Open+%7C+July22-23+%7C+Msc(Computer+sc)+%7C+BCA+%7C+Bcom(Computer+Application+),+2nd+FLOOR+203+ALANKAR+POINT+GEETA+BHAWAN+SUQARE,+AB+Rd,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd3bb999c607:0xb1b2a25b9d6da904?sa=X"
6,IOTA ACADEMY | Data Analytics & Placement Training Institute | Best Rated Institute in Indore,http://www.iotaacademy.in/,"https://www.google.com/maps/dir//2nd+Floor,+IOTA+ACADEMY+%7C+Data+Analytics+%26+Placement+Training+Institute+%7C+Best+Rated+Institute+in+Indore,+AB+Rd,+above+Central+Coffee+House,+opp.+Sky+Heights,+Navlakha,+Chouraha,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd9ae800644f:0x22eb47a45caf1f4e?sa=X"
7,Vidyut Singhai Classes,https://www.infoviaan.com/,"https://www.google.com/maps/dir//21,+Vidyut+Singhai+Classes,+10,+near+G.Sacchanand+Kala+Mandir,+Vijay+Nagar,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x396302abdab0a617:0x176dcad1e08b9f72?sa=X"
8,"Samyak Classes, Indore",http://www.samyakclasses.com/,"https://www.google.com/maps/dir//Samyak+Classes,+Indore,+104,+2nd+Floor,+Shagun+Tower,+AB+Rd,+above+Apna+Sweets,+Near+C21+Mall,+Near+Vijay+Nagar+Square,+Indore,+Madhya+Pradesh+452010/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fda14003335f:0xe1cad42b00acfe23?sa=X"
9,Prestige Point,https://prestigepoint.in/,"https://www.google.com/maps/dir//Prestige+Point,+Rafael+Tower,+403-404,+Greater+Kailash+Road,+Near+Saket+Square,+New+Palasia,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd360fa596b5:0x746e43fe47e1c850?sa=X"
10,Best Ethical Hacking | Programming Institute in Indore India | Hakimi Infosec,http://hakimiinfosec.com/,"https://www.google.com/maps/dir//Best+Ethical+Hacking+%7C+Programming+Institute+in+Indore+India+%7C+Hakimi+Infosec,+351,+Saifee+Nagar+Main+Rd,+Transport+Nagar,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fcfc3c43df81:0xfae15f615388056f?sa=X"
11,Infoviaan Technolgies,http://infoviaan.com/,"https://www.google.com/maps/dir//21,+Infoviaan+Technolgies,+10,+Vijay+Nagar,+Indore,+Madhya+Pradesh+452010/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x39630370245b7723:0xbbbac16661c85765?sa=X"
12,SSi Digital Academy,https://online.ssidigital.in/,"https://www.google.com/maps/dir//SSi+Digital+Academy,+11,+Bhawarkua+Main+Rd,+Professor+Colony,+Indore,+Madhya+Pradesh+452014/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd39a7275603:0xe1785f50b96c642f?sa=X"
