,Camera name,Price,Number of People by Rating,Images
0,"Sony Alpha ILCE-7CL with 28-60mm Zoom Lens (Compact Full Frame Camera, 4K, Flip Screen, Light Weight, Real time Tracking, Content Creation) with Wireless Noise-Cancellation Headphone (WH-CH710N)","1,63,290",31,https://m.media-amazon.com/images/I/617aIxkbkBL._AC_UY218_.jpg
1,Canon EOS 1500D 24.1 Digital SLR Camera (Black) with EF S18-55 is II Lens,"36,490","10,653",https://m.media-amazon.com/images/I/914hFeTU2-L._AC_UY218_.jpg
2,Canon EOS 200D II 24.1MP Digital SLR Camera + EF-S 18-55mm f4 is STM Lens (Black),"56,490","1,469",https://m.media-amazon.com/images/I/81cEKnH692L._AC_UY218_.jpg
3,"(Renewed) Canon EOS 3000D 18MP Digital SLR Camera (Black) with 18-55mm is II Lens, 16GB Card and Carry Case","29,924",37,https://m.media-amazon.com/images/I/91tuLRJml-L._AC_UY218_.jpg
4,Canon IXUS-285 HS 20.2MP Point and Shoot Camera with 12x Optical Zoom (Black),"22,995",149,https://m.media-amazon.com/images/I/91a8xiYUU3L._AC_UY218_.jpg
5,Canon EOS 90D Digital SLR Camera with 18-135 is USM Lens [Black],"1,19,990",90,https://m.media-amazon.com/images/I/81QKcQmJF7L._AC_UY218_.jpg
6,Canon EOS 6D Mark II 26.2MP Digital SLR Camera with EF24-105 mm f/4L is II USM Lens [Black],"1,62,546",28,https://m.media-amazon.com/images/I/71OJD9qlQyL._AC_UY218_.jpg
7,Canon EOS 200D II 24.1MP Digital SLR Camera + EF-S 18-55mm f4 is STM Lens (Black) + Arctic Fox Sling Shutter Topography Camera Bag,"57,689","1,469",https://m.media-amazon.com/images/I/81is+XnQ-AL._AC_UY218_.jpg
8,Canon IXUS-285 HS 20.2MP Point and Shoot Camera with 12x Optical Zoom(Silver),"22,995",14,https://m.media-amazon.com/images/I/91o+OKWqTcL._AC_UY218_.jpg
9,Canon RP Body Digital Camera [Black],"83,750",33,https://m.media-amazon.com/images/I/51+ZKsT5YIL._AC_UY218_.jpg
10,"Canon EOS 90D Digital SLR Camera with 18-135 is USM Lens with 16GB Card + SanDisk 128GB Extreme Pro SDXC UHS-I Card - C10, U3, V30, 4K UHD, SD Card","1,22,489",90,https://m.media-amazon.com/images/I/811F38yoMeL._AC_UY218_.jpg
11,Canon PowerShot ELPH 360 Digital Camera w/ 12x Optical Zoom and Image Stabilization - Wi-Fi & NFC Enabled (Black),"33,869","1,291",https://m.media-amazon.com/images/I/71XQ+JdBvEL._AC_UY218_.jpg
12,(Renewed) Canon EOS 1500D Digital SLR Camera (Black) with EF S18-55 is II Lens/Camera Case,"33,500",85,https://m.media-amazon.com/images/I/914hFeTU2-L._AC_UY218_.jpg
13,Canon Power Shot G7X Mark II 20.1 MP Digital Vlogging Camera (Black) with 1-inch CMOS Sensor and 4.2X Optical Zoom,"51,995","1,292",https://m.media-amazon.com/images/I/416b8xNfDJL._AC_UY218_.jpg
14,Canon EOS 200D II 24.1MP Digital SLR Camera + EF-S 18-55mm f4 is STM Lens (Black) with Canon EF50MM F/1.8 STM Lens,"66,480","1,469",https://m.media-amazon.com/images/I/81w6OTA6l3L._AC_UY218_.jpg
15,"Canon EOS R10 24.2MP Mirrorless Digital Camera with RF-S18-150mm Kit Lens (APS-C Sensor, 23 FPS, Next Gen Auto Focus, Next Level Image Stabilisation, 4K) – Black","1,17,995",36,https://m.media-amazon.com/images/I/61biVk6kqQL._AC_UY218_.jpg
16,"Canon EOS 90D Digital SLR Camera (Body Only, Black)","94,990",22,https://m.media-amazon.com/images/I/71N1AoQkw2S._AC_UY218_.jpg
